,Chance_of_Admit
0,0.9240070656096548
1,0.7779865293308604
2,0.5829115976109325
3,0.6975589582711647
4,0.8045847516985871
5,0.8713539765610807
6,0.489661505970457
7,0.6348452980336453
8,0.8099923899215801
9,0.8299520688864935
10,0.6944268722400221
11,0.7172501437624267
12,0.6629270292626207
13,0.9179289884408383
14,0.8342003543754503
15,0.5176758574165526
16,0.851329000410858
17,0.5768239085466961
18,0.5385453318083993
19,0.5916996329026829
20,0.6957072672778609
21,0.5669356207053169
22,0.7212600390504547
23,0.8050241241150202
24,0.7679997502867321
25,0.6210775692645419
26,0.9746634697189939
27,0.839234794693474
28,0.6138876009443494
29,0.7495785673691147
30,0.5685664391125331
31,0.7338563419321333
32,0.5593057684982528
33,0.8569073716123482
34,0.6358246670107599
35,0.7468667293540274
36,0.5659753878527376
37,0.942257825440922
38,0.6445593649048846
39,0.6965750646334402
40,0.9775378530953152
41,0.5602932374177582
42,0.6925185059965135
43,0.8533473108640129
44,0.9162678247807523
45,0.5555157170652943
46,0.9383416525410703
47,0.8178925395100464
48,0.8053982917956314
49,0.9059435023057045
50,0.8694497315611134
51,0.5559625918229429
52,0.6843338525840302
53,0.5383592363413148
54,0.9495072670656941
55,0.5727143530027866
56,0.9446889888921539
57,0.7146133787808271
58,0.6582751007303548
59,0.48348807477914
60,0.6469367449113167
61,0.6865334247307135
62,0.6030521604529626
63,0.6000087363759433
64,0.42169856839192543
65,0.5733893212988732
66,0.8855710144589833
67,0.8800603020588484
68,0.6546179348049503
69,0.7144715819182812
70,0.6288628163546577
71,0.7949150436336809
72,0.685143094858273
73,0.5680179877908921
74,0.5608978499036696
75,0.6527010293711698
76,0.8438722038539006
77,0.8493611968855843
78,0.5552295629255712
79,0.6383362056810528
80,0.7550540042106753
81,0.829200183768701
82,0.6276954088510825
83,0.841091477876703
84,0.7367480322598248
85,0.6567802068806464
86,0.5953758329118767
87,0.7551160950905416
88,0.7936100290925255
89,0.6629487073047147
90,0.7531487368359777
91,0.9313423944198304
92,0.9233899809325518
93,0.6492296581605348
94,0.8002515048257408
95,0.43850005600320174
96,0.6656875653863383
97,0.7819957176438026
98,0.7620458201778046
99,0.6208246383781916
