,Chance_of_Admit
0,0.9212506498319388
1,0.7836079189836814
2,0.5720597093395473
3,0.6839367019502801
4,0.7993347613580466
5,0.8842245493282724
6,0.4694077556398739
7,0.6169327804205036
8,0.8042191419300857
9,0.8065993683394641
10,0.6976834232828129
11,0.7140311152553249
12,0.6807472170400112
13,0.930774978399337
14,0.8354905781878744
15,0.518038202122949
16,0.8790419169004728
17,0.5887200302832063
18,0.525589723297685
19,0.5722919349191522
20,0.6729205064453012
21,0.5710449887454744
22,0.7453670368711693
23,0.8083283316902666
24,0.7560699013264088
25,0.6151979385090028
26,0.9513598204147347
27,0.8615177565813195
28,0.6056403033418627
29,0.7556685894485272
30,0.5752541461733145
31,0.7260961860603772
32,0.5506969749416569
33,0.848152478859141
34,0.6329578869506305
35,0.7395912270694488
36,0.5678164229582923
37,0.9372742355311646
38,0.6361451126205401
39,0.6980702523226732
40,1.0034191932596455
41,0.574094871571494
42,0.6946589693484503
43,0.8545851396892032
44,0.9279936671097361
45,0.5692597704510634
46,0.9295997420998923
47,0.8162398461071563
48,0.8257270516503107
49,0.9008929853917065
50,0.8780087062514959
51,0.5576632252692704
52,0.6979688105782125
53,0.5515234531869817
54,0.9449802247303938
55,0.58483476334676
56,0.9510083024199509
57,0.7113000665455129
58,0.6481088562643493
59,0.5021554479639919
60,0.6546179834634018
61,0.6784349456302922
62,0.5973294016891009
63,0.6209978045120471
64,0.4319246975641271
65,0.5574862706487276
66,0.881867344756283
67,0.8729270590162049
68,0.6458019635152624
69,0.7085740257169342
70,0.6320736162807156
71,0.7945510411859754
72,0.7059977091607631
73,0.5523457176533874
74,0.5507090992799233
75,0.6476530166398308
76,0.8465422645933097
77,0.8438472263064756
78,0.5400836405612517
79,0.6624747485919451
80,0.761440151876154
81,0.8408618658978049
82,0.6324858012167005
83,0.8413643790963119
84,0.7593258539286475
85,0.6598389698534457
86,0.5921011643971807
87,0.7453478774309843
88,0.7994553496375078
89,0.6649041027061826
90,0.7583385058592144
91,0.91453489479686
92,0.9311155224270922
93,0.6586502685921619
94,0.7817324563259852
95,0.4499444220789717
96,0.6798400835858756
97,0.7485579333187706
98,0.7354887685951221
99,0.6263708033670068
