,Chance_of_Admit
0,0.82372093
1,0.651523
2,0.651523
3,0.651523
4,0.82372093
5,0.82372093
6,0.651523
7,0.651523
8,0.651523
9,0.82372093
10,0.82372093
11,0.651523
12,0.82372093
13,0.82372093
14,0.82372093
15,0.651523
16,0.82372093
17,0.651523
18,0.651523
19,0.651523
20,0.651523
21,0.651523
22,0.651523
23,0.82372093
24,0.82372093
25,0.651523
26,0.82372093
27,0.82372093
28,0.651523
29,0.651523
30,0.651523
31,0.651523
32,0.651523
33,0.82372093
34,0.651523
35,0.651523
36,0.651523
37,0.82372093
38,0.651523
39,0.651523
40,0.82372093
41,0.651523
42,0.651523
43,0.82372093
44,0.82372093
45,0.651523
46,0.82372093
47,0.82372093
48,0.82372093
49,0.82372093
50,0.82372093
51,0.651523
52,0.651523
53,0.651523
54,0.82372093
55,0.82372093
56,0.82372093
57,0.651523
58,0.651523
59,0.651523
60,0.651523
61,0.651523
62,0.651523
63,0.651523
64,0.651523
65,0.651523
66,0.82372093
67,0.82372093
68,0.651523
69,0.651523
70,0.651523
71,0.82372093
72,0.82372093
73,0.651523
74,0.651523
75,0.651523
76,0.82372093
77,0.82372093
78,0.651523
79,0.651523
80,0.82372093
81,0.82372093
82,0.651523
83,0.82372093
84,0.82372093
85,0.651523
86,0.651523
87,0.82372093
88,0.651523
89,0.651523
90,0.651523
91,0.82372093
92,0.82372093
93,0.651523
94,0.82372093
95,0.651523
96,0.651523
97,0.82372093
98,0.651523
99,0.651523
