ID,Chance_of_Admit
362,0.9100373699873536
74,0.8000683661130235
375,0.5598651001709666
156,0.691422334864111
105,0.8118173150797351
395,0.8705405208805921
378,0.4619879011974394
125,0.6276275491678962
69,0.8245492142139171
451,0.792754744197991
10,0.7198242547840763
195,0.716678341155318
407,0.6631323564136031
85,0.9425940579233223
372,0.8255984555946299
389,0.5078021194613617
496,0.855404370358363
31,0.6137578573704798
317,0.5207849940528686
409,0.5634727571534579
491,0.6600808474481961
492,0.5506492038842619
281,0.743190803295238
357,0.7997997961314522
77,0.7713009169220256
462,0.5985156600864888
498,0.9316643125340329
212,0.8615194290788506
102,0.6193284333054728
335,0.7474629394733517
476,0.5545074008739643
337,0.7163841141564492
441,0.5328367173863198
174,0.8555131190740188
3,0.6595537647937474
334,0.7331998178454238
410,0.5582353718757718
71,0.9527385301479073
210,0.6416495658416839
64,0.7160594861787909
385,0.9914273988241991
94,0.5905756399656574
486,0.6801438740546715
186,0.8589526124849992
34,0.9464277404716694
78,0.5847450511272718
1,0.9562932857997647
12,0.8410462359700484
416,0.8112961970750306
23,0.9229348393078488
73,0.8944216321428512
183,0.5648418878754584
132,0.705506372653406
411,0.5418410814644041
194,0.9479782038782083
56,0.5987749974149341
149,0.9577720973184545
19,0.732378500715719
205,0.6539511623306283
79,0.5180062701418702
495,0.6365640518263654
263,0.6824358560448385
324,0.5921833664100113
484,0.5944273053006547
80,0.4497313251749888
40,0.5765327185893532
452,0.865919264533958
47,0.8926114450504044
239,0.6477498611243109
392,0.6969651131685632
353,0.6268917101056254
342,0.7862689782118092
278,0.7038336479721786
291,0.5481737601442322
318,0.5495140221261163
305,0.6418165378453888
269,0.8430759225641211
70,0.858941051184827
456,0.5241224500911608
466,0.6462078702431223
155,0.7684690350169001
83,0.8545242184823676
478,0.6085810005218452
173,0.8497380797233229
322,0.7522897893051818
91,0.6745739352205602
181,0.5966014336825478
415,0.7305384344103053
313,0.7952462924932586
279,0.6643293774593952
382,0.7486640043919369
473,0.8981944929148916
363,0.9189695620751115
325,0.6491013220548643
432,0.7694100154713386
348,0.4416289544530377
87,0.6915424425014518
76,0.7684281809067713
439,0.7257329774260927
16,0.6469093916402285
