,Chance_of_Admit
0,0.9257429806005908
1,0.7776875879311012
2,0.5859008331848237
3,0.6969089241372186
4,0.8039045979643828
5,0.8765325033259932
6,0.4839193350001352
7,0.6302880601008554
8,0.8041968225158216
9,0.822349148538106
10,0.7013463263506952
11,0.720944550250936
12,0.6712035555831986
13,0.9219938751925241
14,0.8350743984893769
15,0.5170345526779783
16,0.8619193202332791
17,0.5745223094942797
18,0.5352995226136124
19,0.5806398184542207
20,0.6854447671610073
21,0.5703496097320067
22,0.7253291240270634
23,0.8057726703438541
24,0.7658649588548714
25,0.6191712418769615
26,0.9709452153871914
27,0.8465830482980856
28,0.6139315582083802
29,0.751493538134137
30,0.5765249891585145
31,0.7378066278411237
32,0.5644949510362325
33,0.8526625463115118
34,0.6346448596755423
35,0.7443790214209545
36,0.5660079692208158
37,0.9410516502089001
38,0.6386029812182408
39,0.6977375580235508
40,0.9840165352997079
41,0.5593125819629929
42,0.6895860046086753
43,0.8537914877968447
44,0.9194550091856468
45,0.5606452820892021
46,0.9371082386545921
47,0.8166049234285435
48,0.8105228844643235
49,0.9045830922125775
50,0.8691210765561463
51,0.5560470460888218
52,0.6898741965192989
53,0.5417962887886543
54,0.9483693696596041
55,0.5819627499632716
56,0.9468296275024908
57,0.7200109801103076
58,0.6544828937493226
59,0.4858335333192221
60,0.6465956960717889
61,0.6780032089564683
62,0.6022963426510468
63,0.6159901137293475
64,0.42181672811004867
65,0.5759405799365276
66,0.8857332241794384
67,0.8760715792520741
68,0.651242141803104
69,0.7147896256715927
70,0.6258050646752273
71,0.7960575532644316
72,0.6912426142116102
73,0.5680682946710058
74,0.5545731269101071
75,0.65593662691215
76,0.8483521599379082
77,0.8496548762170908
78,0.5539486477658253
79,0.6429171043170994
80,0.7590851011157718
81,0.8314291499613871
82,0.6383171601809583
83,0.8372556692881401
84,0.7426890465413376
85,0.6583660004377603
86,0.5972665271599802
87,0.7547360966752119
88,0.7924680512885718
89,0.663671169237021
90,0.7527882843849303
91,0.9275339974047812
92,0.9269698524480898
93,0.6569746612754834
94,0.7968899360373471
95,0.44213869515854154
96,0.6750187117372064
97,0.7704132183716739
98,0.7539264143000481
99,0.6284607341182957
