ID,Chance_of_Admit
362,0.9123655821545713
74,0.7958199585568304
375,0.5689915159796073
156,0.7034163645892237
105,0.8161077778259063
395,0.8596192360482171
378,0.4777988827453614
125,0.6447763109625988
69,0.8280220564925547
451,0.812785609161254
10,0.713239151347598
195,0.7197744996644755
407,0.650268947543837
85,0.9320291530294889
372,0.823836157211921
389,0.5068791339056045
496,0.8319152138403203
31,0.6014678814108525
317,0.5319585713615831
409,0.5815134380519693
491,0.6775511265103928
492,0.5479131788686387
281,0.7234841776203418
357,0.7967944748081404
77,0.781281095138264
462,0.6040936760742106
498,0.950921217761634
212,0.8438853311228656
102,0.6254819285736968
335,0.74435959569303
476,0.5487025050433496
337,0.7228038036517723
441,0.5393581824241622
174,0.8641359140899334
3,0.6592653856402368
334,0.7402293212135478
410,0.5538054991512393
71,0.9570894742861162
210,0.6510029173138834
64,0.7134609961467968
385,0.967700377307761
94,0.57896000105475
486,0.6761175806342228
186,0.8592161178652529
34,0.9350576564905781
78,0.5716135035824161
1,0.9586132841163366
12,0.8398469944758482
416,0.7942239138049592
23,0.9258417803056556
73,0.8877084519069085
183,0.5635370258588683
132,0.6964027477036467
411,0.5281040193092368
194,0.9532895691824843
56,0.5884339748875875
149,0.9521313728367329
19,0.7320386732915589
205,0.6631906210115066
79,0.5026953546949027
495,0.6293547103609836
263,0.6892632138389685
324,0.59647302073864
484,0.5789959906390336
80,0.4392438338497613
40,0.5886180643672618
452,0.8685054206390086
47,0.8985233611337862
239,0.6559393002827509
392,0.7011396643600929
353,0.6241976742600992
342,0.7868253170833321
278,0.6844136369662375
291,0.5621984243495046
318,0.5562107685591229
305,0.6453640325106991
269,0.8408367830596755
70,0.8637509160096262
456,0.5359989002019898
466,0.6252599978362949
155,0.7623498696046667
83,0.8460513684611557
478,0.6053226967276313
173,0.8504764998113823
322,0.7336933679409501
91,0.6718607291693777
181,0.6008796408452353
415,0.7405058624111487
313,0.791670763448485
279,0.6615933845924535
382,0.7442124242003889
473,0.9112275709308661
363,0.913376802578169
325,0.6416189516820119
432,0.7833370745414328
348,0.43068842802005225
87,0.6792376984807469
76,0.7951620125247263
439,0.7451499179644359
16,0.6396547145408202
