,Chance_of_Admit
0,0.9267192172136668
1,0.7789280640831746
2,0.5858408199548121
3,0.700333286733494
4,0.8044887106768498
5,0.8758675346318698
6,0.48485781702931874
7,0.6364852298022031
8,0.8046091217348716
9,0.822751967807213
10,0.7034425724118648
11,0.7234946050457822
12,0.6713417926452699
13,0.9232997910052321
14,0.8350612467035348
15,0.5192319926935188
16,0.8617624633985086
17,0.5734690840707753
18,0.5380444577265049
19,0.5800096856300473
20,0.6819320141030469
21,0.5729244007621329
22,0.723114420884919
23,0.8036031011434835
24,0.7663601037164305
25,0.6204863020763116
26,0.97205143235082
27,0.8458938945349588
28,0.6148491194897205
29,0.7513228610212954
30,0.5779723419873252
31,0.7407455907125134
32,0.5659227279143806
33,0.853458269886392
34,0.6339182680092197
35,0.7435840196566389
36,0.5654230967312738
37,0.942818689579598
38,0.6378805017826743
39,0.6958491485193177
40,0.9818314679950824
41,0.5575869420827686
42,0.6867100545265423
43,0.8534838293105975
44,0.9220735646232382
45,0.5628661898657348
46,0.9378336781930987
47,0.816948112890356
48,0.8086148927545973
49,0.9064632901625609
50,0.8709331815782999
51,0.5560717515320243
52,0.6939115018847322
53,0.537614349524125
54,0.9496249841744939
55,0.5826588021907465
56,0.9484447930330671
57,0.7226397770597104
58,0.6569423933674319
59,0.4849331665218093
60,0.6480309095307215
61,0.6758628936977172
62,0.6039680383467219
63,0.6189360232090249
64,0.4222872252584823
65,0.5752228232350075
66,0.8850843437427143
67,0.8781747785109559
68,0.6539571672792902
69,0.7174152766939124
70,0.6231137343093037
71,0.7946489951762001
72,0.6912222299636847
73,0.5680746134834366
74,0.555313551038905
75,0.6577669303394331
76,0.8493609902981909
77,0.8504441726995882
78,0.5547552391093732
79,0.6441781263667878
80,0.7608369373126518
81,0.8333484960243029
82,0.6421005208734937
83,0.8371517703894393
84,0.7394967911680523
85,0.6539664563614368
86,0.5999261275121305
87,0.7541602855639401
88,0.7925248945252703
89,0.6638202190382003
90,0.7517468596658077
91,0.9276807863631835
92,0.926667293236813
93,0.6589655829094138
94,0.7942240265504966
95,0.442832798290119
96,0.6756797876084315
97,0.7687425246407753
98,0.749976175742774
99,0.6311445584289198
