,Chance_of_Admit
0,0.9282527971302782
1,0.7772460976208642
2,0.5883854613168039
3,0.7001154045756633
4,0.8040397904679644
5,0.8773383809903905
6,0.48835503816686854
7,0.6352273656358735
8,0.8027724076841359
9,0.8219008224153767
10,0.6975707965934572
11,0.7240242924579444
12,0.671654894692189
13,0.9232539093988283
14,0.8362597168916457
15,0.5196803738520963
16,0.8615291881314422
17,0.5679895520458081
18,0.5401223784491552
19,0.5812988689414592
20,0.6820241192877682
21,0.5715776941605588
22,0.7239593028968768
23,0.8048160730611934
24,0.7647778456291413
25,0.6206232153988578
26,0.9709117507562607
27,0.8480506885455208
28,0.6142194718601627
29,0.7523033321915692
30,0.5783084358344002
31,0.74148455853507
32,0.5683330344101866
33,0.8539867228658405
34,0.6270998658949583
35,0.7443123841641363
36,0.5650317621673223
37,0.941800858643942
38,0.6392565653368127
39,0.694529978081993
40,0.9862209788336532
41,0.5555694477923634
42,0.6852815906170673
43,0.8547196613805628
44,0.9195018421976398
45,0.5607393974198239
46,0.9317834819601467
47,0.8114787847414217
48,0.8090698350303847
49,0.9025453388446384
50,0.8700023364672528
51,0.5568574790612664
52,0.6935220329386946
53,0.5377382433592619
54,0.9508828448875826
55,0.5810857600700983
56,0.9505507455417177
57,0.7178451845262568
58,0.6577842878448186
59,0.4835659736801232
60,0.6461992071131727
61,0.6764653573540045
62,0.6046906702886206
63,0.6191604852528275
64,0.4204862286997647
65,0.5744312446847508
66,0.885642069262318
67,0.8750252738419005
68,0.6539169260956557
69,0.7171257675691635
70,0.623586242356804
71,0.7958552429091296
72,0.690970464831361
73,0.5709048154572602
74,0.5560995255549848
75,0.659216388156066
76,0.8510901306564894
77,0.8487915751810872
78,0.5561015501357796
79,0.6402821429027497
80,0.760875227772694
81,0.8322235536175902
82,0.6419628467278424
83,0.8379520594091088
84,0.7407364782108451
85,0.6546976273830886
86,0.600908789888258
87,0.7543702626686877
88,0.7936860517090306
89,0.6642503062138174
90,0.7517838142790517
91,0.9275993272578532
92,0.9284408938368017
93,0.6595740071411443
94,0.7947777083790394
95,0.4452116014151717
96,0.6749417918988622
97,0.7672280309639845
98,0.7503875576193749
99,0.625983757943276
